user_id,first_competency_clicked,project_created
841,Critical Thinking,0
842,Communication,0
843,Critical Thinking,0
844,Creativity,0
845,Critical Thinking,0
846,Collaboration,0
847,Critical Thinking,0
848,Creativity,0
849,Communication,0
850,Communication,0
851,Critical Thinking,0
852,Communication,1
853,Critical Thinking,0
854,Creativity,1
855,Critical Thinking,0
856,Critical Thinking,0
857,Critical Thinking,0
858,Collaboration,0
859,Communication,0
860,Critical Thinking,0
861,Creativity,0
862,Collaboration,0
863,Communication,0
864,Collaboration,0
865,Collaboration,0
866,Communication,0
867,Critical Thinking,0
868,Critical Thinking,0
869,Creativity,0
870,Creativity,0
871,Collaboration,0
872,Collaboration,0
873,Communication,0
874,Collaboration,0
875,Critical Thinking,0
876,Critical Thinking,0
877,Communication,1
878,Communication,0
879,Critical Thinking,0
880,Critical Thinking,0
881,Critical Thinking,0
882,Communication,0
883,Critical Thinking,0
884,Critical Thinking,1
885,Creativity,0
886,Critical Thinking,0
887,Communication,0
888,Critical Thinking,1
889,Critical Thinking,0
890,Critical Thinking,0
891,Communication,0
892,Creativity,0
893,Creativity,0
894,Collaboration,0
895,Communication,0
896,Critical Thinking,0
897,Collaboration,1
898,Creativity,0
899,Critical Thinking,1
900,Critical Thinking,0
901,Critical Thinking,0
902,Critical Thinking,0
903,Critical Thinking,0
904,Communication,0
905,Collaboration,0
906,Creativity,0
907,Creativity,0
908,Collaboration,0
909,Collaboration,0
910,Collaboration,0
911,Communication,0
912,Collaboration,1
913,Communication,0
914,Collaboration,0
915,Communication,0
916,Collaboration,0
917,Collaboration,1
918,Creativity,0
919,Creativity,0
920,Critical Thinking,0
921,Creativity,0
922,Collaboration,1
923,Creativity,0
924,Creativity,0
925,Collaboration,0
926,Critical Thinking,0
927,Collaboration,0
928,Communication,0
929,Communication,0
930,Collaboration,0
931,Critical Thinking,0
932,Creativity,0
933,Creativity,0
934,Communication,1
935,Critical Thinking,0
936,Collaboration,0
937,Critical Thinking,0
938,Creativity,0
939,Critical Thinking,0
940,Communication,0
941,Collaboration,0
942,Communication,0
943,Communication,0
944,Creativity,1
945,Critical Thinking,1
946,Critical Thinking,0
947,Critical Thinking,0
948,Creativity,0
949,Creativity,0
950,Communication,0
951,Communication,0
952,Communication,0
953,Critical Thinking,0
954,Creativity,0
955,Collaboration,0
956,Collaboration,0
957,Communication,0
958,Critical Thinking,0
959,Critical Thinking,0
960,Communication,0
961,Critical Thinking,0
962,Communication,1
963,Critical Thinking,0
964,Collaboration,0
965,Collaboration,0
966,Collaboration,0
967,Communication,1
968,Collaboration,0
969,Communication,1
970,Collaboration,0
971,Communication,0
972,Creativity,0
973,Communication,0
974,Critical Thinking,0
975,Critical Thinking,0
976,Collaboration,1
977,Communication,0
978,Critical Thinking,0
979,Collaboration,0
980,Communication,0
981,Collaboration,0
982,Creativity,0
983,Critical Thinking,1
984,Critical Thinking,0
985,Communication,0
986,Collaboration,0
987,Communication,0
988,Collaboration,1
989,Critical Thinking,0
990,Creativity,0
991,Creativity,0
992,Communication,0
993,Collaboration,0
994,Communication,0
995,Collaboration,0
996,Critical Thinking,0
997,Creativity,0
998,Critical Thinking,0
999,Creativity,0
1000,Collaboration,0
1001,Critical Thinking,0
1002,Communication,0
1003,Creativity,1
1004,Communication,0
1005,Creativity,0
1006,Communication,1
1007,Communication,0
1008,Creativity,0
1009,Critical Thinking,0
1010,Collaboration,0
1011,Critical Thinking,0
1012,Creativity,0
1013,Creativity,1
1014,Critical Thinking,0
1015,Communication,0
1016,Creativity,0
1017,Critical Thinking,0
1018,Communication,0
1019,Creativity,0
1020,Critical Thinking,0
1021,Communication,0
1022,Collaboration,0
1023,Creativity,1
1024,Creativity,0
1025,Creativity,0
1026,Collaboration,0
1027,Creativity,1
1028,Creativity,0
1029,Collaboration,0
1030,Creativity,0
1031,Critical Thinking,0
1032,Communication,0
1033,Critical Thinking,0
1034,Critical Thinking,0
1035,Critical Thinking,0
1036,Communication,0
1037,Collaboration,0
1038,Communication,1
1039,Critical Thinking,0
1040,Collaboration,0
1041,Communication,0
1042,Creativity,0
1043,Collaboration,0
1044,Communication,0
1045,Creativity,0
1046,Communication,0
1047,Critical Thinking,0
1048,Critical Thinking,0
1049,Creativity,0
1050,Critical Thinking,1
1051,Creativity,0
1052,Communication,1
1053,Creativity,0
1054,Creativity,0
1055,Creativity,1
1056,Collaboration,0
1057,Creativity,0
1058,Collaboration,0
1059,Collaboration,0
1060,Communication,0
1061,Creativity,0
1062,Creativity,0
1063,Creativity,0
1064,Collaboration,0
1065,Collaboration,0
1066,Communication,0
1067,Critical Thinking,0
1068,Critical Thinking,0
1069,Collaboration,0
1070,Collaboration,0
1071,Collaboration,1
1072,Critical Thinking,0
1073,Critical Thinking,0
1074,Critical Thinking,0
1075,Creativity,0
1076,Collaboration,0
1077,Collaboration,0
1078,Communication,0
1079,Critical Thinking,0
1080,Creativity,0
1081,Creativity,0
1082,Critical Thinking,1
1083,Collaboration,0
1084,Creativity,0
1085,Creativity,0
1086,Collaboration,0
1087,Communication,0
1088,Critical Thinking,0
1089,Creativity,0
1090,Critical Thinking,0
1091,Creativity,0
1092,Communication,0
1093,Communication,0
1094,Communication,0
1095,Critical Thinking,0
1096,Critical Thinking,0
1097,Critical Thinking,0
1098,Critical Thinking,0
1099,Creativity,0
1100,Collaboration,0
1101,Critical Thinking,0
1102,Creativity,0
1103,Creativity,0
1104,Creativity,1
1105,Creativity,0
1106,Critical Thinking,0
1107,Collaboration,0
1108,Creativity,0
1109,Communication,0
1110,Critical Thinking,1
1111,Creativity,1
1112,Critical Thinking,0
1113,Critical Thinking,1
1114,Communication,0
1115,Communication,0
1116,Communication,0
1117,Critical Thinking,0
1118,Creativity,1
1119,Collaboration,0
1120,Critical Thinking,0
1121,Creativity,0
1122,Creativity,0
1123,Creativity,0
1124,Creativity,1
1125,Communication,0
1126,Communication,0
1127,Critical Thinking,0
1128,Collaboration,0
1129,Collaboration,0
1130,Collaboration,0
1131,Communication,0
1132,Collaboration,0
1133,Critical Thinking,0
1134,Critical Thinking,0
1135,Communication,0
1136,Critical Thinking,0
1137,Creativity,0
1138,Collaboration,1
1139,Collaboration,0
1140,Communication,0
1141,Creativity,0
1142,Collaboration,0
1143,Communication,0
1144,Communication,1
1145,Collaboration,0
1146,Creativity,0
1147,Creativity,0
1148,Communication,0
1149,Creativity,0
1150,Creativity,1
1151,Communication,0
1152,Creativity,0
1153,Communication,0
1154,Communication,0
1155,Communication,0
1156,Creativity,0
1157,Critical Thinking,0
1158,Creativity,0
1159,Creativity,0
1160,Critical Thinking,0
1161,Creativity,0
1162,Critical Thinking,0
1163,Collaboration,0
1164,Communication,0
1165,Critical Thinking,0
1166,Creativity,0
1167,Creativity,0
1168,Communication,1
1169,Critical Thinking,0
1170,Collaboration,0
1171,Communication,0
1172,Creativity,0
1173,Communication,0
1174,Collaboration,0
1175,Communication,0
1176,Communication,0
1177,Creativity,0
1178,Critical Thinking,0
1179,Creativity,0
1180,Communication,0
1181,Creativity,0
1182,Collaboration,0
1183,Communication,0
1184,Creativity,1
1185,Critical Thinking,0
1186,Creativity,0
1187,Communication,0
1188,Critical Thinking,0
1189,Collaboration,0
1190,Communication,0
1191,Critical Thinking,0
1192,Communication,0
1193,Collaboration,0
1194,Communication,1
1195,Critical Thinking,0
1196,Creativity,0
1197,Creativity,0
1198,Creativity,1
1199,Communication,0
1200,Critical Thinking,0
1201,Creativity,0
1202,Critical Thinking,0
1203,Critical Thinking,1
1204,Collaboration,0
1205,Collaboration,0
1206,Creativity,1
1207,Communication,0
1208,Collaboration,0
1209,Collaboration,0
1210,Creativity,0
1211,Collaboration,0
1212,Collaboration,0
1213,Critical Thinking,0
1214,Creativity,0
1215,Communication,0
1216,Critical Thinking,0
1217,Critical Thinking,0
1218,Communication,0
1219,Communication,0
1220,Collaboration,0
1221,Creativity,0
1222,Critical Thinking,0
1223,Collaboration,0
1224,Creativity,0
1225,Collaboration,0
1226,Communication,0
1227,Collaboration,0
1228,Collaboration,1
1229,Creativity,0
1230,Collaboration,0
1231,Creativity,0
1232,Critical Thinking,1
1233,Critical Thinking,0
1234,Critical Thinking,0
1235,Communication,0
1236,Collaboration,0
1237,Creativity,0
1238,Collaboration,0
1239,Creativity,1
1240,Critical Thinking,1
1241,Creativity,1
1242,Creativity,0
1243,Creativity,0
1244,Creativity,0
1245,Creativity,0
1246,Communication,0
1247,Critical Thinking,0
1248,Critical Thinking,0
1249,Creativity,0
1250,Communication,0
1251,Creativity,0
1252,Collaboration,0
1253,Critical Thinking,0
1254,Critical Thinking,0
1255,Communication,0
1256,Collaboration,0
1257,Critical Thinking,0
1258,Collaboration,0
1259,Critical Thinking,0
1260,Communication,0
1261,Collaboration,0
1262,Creativity,1
1263,Collaboration,0
1264,Collaboration,1
1265,Critical Thinking,0
1266,Critical Thinking,0
1267,Collaboration,1
1268,Collaboration,0
1269,Communication,0
1270,Collaboration,0
1271,Communication,0
1272,Creativity,1
1273,Creativity,0
1274,Critical Thinking,0
1275,Collaboration,0
1276,Critical Thinking,0
1277,Critical Thinking,0
1278,Creativity,0
1279,Critical Thinking,0
1280,Collaboration,0
1281,Communication,0
1282,Communication,0
1283,Communication,0
1284,Critical Thinking,0
1285,Collaboration,0
1286,Communication,0
1287,Critical Thinking,0
1288,Collaboration,0
1289,Critical Thinking,1
1290,Critical Thinking,0
1291,Collaboration,0
1292,Critical Thinking,0
1293,Communication,1
1294,Communication,0
1295,Creativity,1
1296,Critical Thinking,1
1297,Critical Thinking,0
1298,Critical Thinking,0
1299,Communication,0
1300,Communication,0
1301,Critical Thinking,0
1302,Creativity,0
1303,Critical Thinking,0
1304,Communication,0
1305,Communication,0
1306,Creativity,0
1307,Communication,0
1308,Creativity,0
1309,Collaboration,0
1310,Creativity,0
1311,Critical Thinking,0
1312,Creativity,0
1313,Communication,0
1314,Creativity,0
1315,Collaboration,0
1316,Communication,1
1317,Communication,0
1318,Communication,0
1319,Critical Thinking,0
1320,Critical Thinking,0
1321,Critical Thinking,0
1322,Critical Thinking,0
1323,Creativity,0
1324,Critical Thinking,0
1325,Creativity,0
1326,Collaboration,0
1327,Critical Thinking,1
1328,Creativity,0
1329,Communication,0
1330,Collaboration,0
1331,Communication,0
1332,Communication,0
1333,Critical Thinking,0
1334,Creativity,0
1335,Creativity,0
1336,Communication,0
1337,Critical Thinking,0
1338,Communication,0
1339,Critical Thinking,0
1340,Critical Thinking,0
1341,Collaboration,0
1342,Collaboration,0
1343,Creativity,0
1344,Communication,0
1345,Communication,0
1346,Collaboration,0
1347,Collaboration,0
1348,Collaboration,1
1349,Creativity,0
1350,Critical Thinking,0
1351,Creativity,0
1352,Communication,0
1353,Collaboration,0
1354,Communication,0
1355,Collaboration,1
1356,Creativity,1
1357,Creativity,0
1358,Collaboration,0
1359,Collaboration,1
1360,Communication,0
1361,Creativity,0
1362,Critical Thinking,0
1363,Communication,0
1364,Communication,0
1365,Communication,0
1366,Critical Thinking,0
1367,Communication,0
1368,Creativity,0
1369,Critical Thinking,0
1370,Critical Thinking,0
1371,Creativity,0
1372,Critical Thinking,0
1373,Creativity,1
1374,Collaboration,1
1375,Critical Thinking,0
1376,Creativity,0
1377,Collaboration,0
1378,Communication,0
1379,Collaboration,1
1380,Communication,1
1381,Critical Thinking,0
1382,Collaboration,0
1383,Creativity,0
1384,Collaboration,0
1385,Communication,0
1386,Collaboration,0
1387,Creativity,0
1388,Critical Thinking,0
